Weekly U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCRIMUS2&f=W
15:31:17 GMT+0200 (hora de verano de Europa central)
Data source: U.S. Energy Information Administration
Week of,Weekly U.S. Imports of Crude Oil Thousand Barrels per Day
05/29/1998,8738
05/22/1998,7959
05/15/1998,8504
05/8/1998,8612
05/1/1998,8312
04/24/1998,7978
04/17/1998,10168
04/10/1998,8347
04/3/1998,8117
03/27/1998,9213
03/20/1998,8178
03/13/1998,7683
03/6/1998,7726
02/27/1998,7170
02/20/1998,6580
02/13/1998,8242
02/6/1998,8323
01/30/1998,7448
01/23/1998,8114
01/16/1998,8960
01/9/1998,8733
01/2/1998,7241
12/26/1997,6987
12/19/1997,8175
12/12/1997,7140
12/5/1997,8007
11/28/1997,8391
11/21/1997,7608
11/14/1997,9475
11/7/1997,7529
10/31/1997,7994
10/24/1997,7633
10/17/1997,8017
10/10/1997,8221
10/3/1997,9625
09/26/1997,8687
09/19/1997,8564
09/12/1997,9311
09/5/1997,7705
08/29/1997,8101
08/22/1997,8367
08/15/1997,8828
08/8/1997,8882
08/1/1997,7620
07/25/1997,8269
07/18/1997,8375
07/11/1997,7684
07/4/1997,8577
06/27/1997,8097
06/20/1997,7213
06/13/1997,9567
06/6/1997,8899
05/30/1997,8267
05/23/1997,8187
05/16/1997,7505
05/9/1997,7796
05/2/1997,8203
04/25/1997,7853
04/18/1997,8418
04/11/1997,7782
04/4/1997,8006
03/28/1997,7870
03/21/1997,7135
03/14/1997,7753
03/7/1997,7742
02/28/1997,7331
02/21/1997,7403
02/14/1997,6905
02/7/1997,8316
01/31/1997,7113
01/24/1997,8144
01/17/1997,7417
01/10/1997,7396
01/3/1997,6021
12/27/1996,7730
12/20/1996,7150
12/13/1996,7848
12/6/1996,8491
11/29/1996,6143
11/22/1996,7150
11/15/1996,6952
11/8/1996,8481
11/1/1996,6881
10/25/1996,8468
10/18/1996,8736
10/11/1996,7654
10/4/1996,8177
09/27/1996,6280
09/20/1996,7483
09/13/1996,7801
09/6/1996,7563
08/30/1996,7304
08/23/1996,7969
08/16/1996,9060
08/9/1996,8044
08/2/1996,8143
07/26/1996,7683
07/19/1996,7870
07/12/1996,7601
07/5/1996,7860
06/28/1996,8366
06/21/1996,7587
06/14/1996,8676
06/7/1996,7524
05/31/1996,8116
05/24/1996,6865
05/17/1996,7564
05/10/1996,8578
05/3/1996,7223
04/26/1996,7852
04/19/1996,7231
04/12/1996,7535
04/5/1996,7360
03/29/1996,7396
03/22/1996,6598
03/15/1996,6923
03/8/1996,6986
03/1/1996,6235
02/23/1996,5543
02/16/1996,7504
02/9/1996,6427
02/2/1996,7002
01/26/1996,6937
01/19/1996,7240
01/12/1996,7504
01/5/1996,6926
12/29/1995,6963
12/22/1995,6192
12/15/1995,6990
12/8/1995,8066
12/1/1995,7182
11/24/1995,7560
11/17/1995,8060
11/10/1995,7695
11/3/1995,6530
10/27/1995,6986
10/20/1995,7568
10/13/1995,7416
10/6/1995,6129
09/29/1995,7546
09/22/1995,7195
09/15/1995,8227
09/8/1995,8563
09/1/1995,6522
08/25/1995,7402
08/18/1995,7781
08/11/1995,8483
08/4/1995,7439
07/28/1995,7390
07/21/1995,6733
07/14/1995,7884
07/7/1995,6455
06/30/1995,7948
06/23/1995,6503
06/16/1995,9337
06/9/1995,7037
06/2/1995,7419
05/26/1995,6871
05/19/1995,7597
05/12/1995,7709
05/5/1995,5800
04/28/1995,8139
04/21/1995,8199
04/14/1995,6191
04/7/1995,6723
03/31/1995,8135
03/24/1995,6088
03/17/1995,6696
03/10/1995,8029
03/3/1995,6104
02/24/1995,5781
02/17/1995,6489
02/10/1995,7901
02/3/1995,5795
01/27/1995,6465
01/20/1995,6521
01/13/1995,6442
01/6/1995,7136
12/30/1994,7334
12/23/1994,6566
12/16/1994,7222
12/9/1994,7030
12/2/1994,6224
11/25/1994,7161
11/18/1994,7398
11/11/1994,7601
11/4/1994,6564
10/28/1994,6893
10/21/1994,7018
10/14/1994,6961
10/7/1994,7208
09/30/1994,8059
09/23/1994,6745
09/16/1994,8414
09/9/1994,7124
09/2/1994,8544
08/26/1994,6987
08/19/1994,7549
08/12/1994,8256
08/5/1994,6427
07/29/1994,8155
07/22/1994,7183
07/15/1994,8550
07/8/1994,7878
07/1/1994,7124
06/24/1994,8027
06/17/1994,8890
06/10/1994,7134
06/3/1994,7382
05/27/1994,6674
05/20/1994,6627
05/13/1994,7347
05/6/1994,7657
04/29/1994,7303
04/22/1994,7763
04/15/1994,6495
04/8/1994,6881
04/1/1994,6731
03/25/1994,5646
03/18/1994,7598
03/11/1994,5696
03/4/1994,6095
02/25/1994,5954
02/18/1994,6429
02/11/1994,5978
02/4/1994,7067
01/28/1994,5877
01/21/1994,5618
01/14/1994,6037
01/7/1994,6598
12/31/1993,6758
12/24/1993,5727
12/17/1993,6635
12/10/1993,7249
12/3/1993,7748
11/26/1993,5620
11/19/1993,6624
11/12/1993,7942
11/5/1993,5648
10/29/1993,7180
10/22/1993,6639
10/15/1993,7513
10/8/1993,6763
10/1/1993,6264
09/24/1993,6429
09/17/1993,6469
09/10/1993,6186
09/3/1993,6429
08/27/1993,7698
08/20/1993,5974
08/13/1993,6277
08/6/1993,6784
07/30/1993,6369
07/23/1993,5510
07/16/1993,8226
07/9/1993,6629
07/2/1993,6121
06/25/1993,6658
06/18/1993,7764
06/11/1993,7341
06/4/1993,5807
05/28/1993,6651
05/21/1993,6618
05/14/1993,6974
05/7/1993,6495
04/30/1993,7731
04/23/1993,6804
04/16/1993,6406
04/9/1993,7369
04/2/1993,5512
03/26/1993,7064
03/19/1993,5549
03/12/1993,7382
03/5/1993,5636
02/26/1993,6801
02/19/1993,5511
02/12/1993,6294
02/5/1993,6419
01/29/1993,6782
01/22/1993,6216
01/15/1993,6171
01/8/1993,7060
01/1/1993,5650
12/25/1992,5277
12/18/1992,6411
12/11/1992,6681
12/4/1992,6242
11/27/1992,6141
11/20/1992,6593
11/13/1992,5633
11/6/1992,6327
10/30/1992,6835
10/23/1992,5929
10/16/1992,8161
10/9/1992,6443
10/2/1992,6025
09/25/1992,5972
09/18/1992,6639
09/11/1992,6337
09/4/1992,5700
08/28/1992,6148
08/21/1992,6263
08/14/1992,7644
08/7/1992,6002
07/31/1992,6505
07/24/1992,6708
07/17/1992,6560
07/10/1992,7504
07/3/1992,5559
06/26/1992,5382
06/19/1992,6183
06/12/1992,6238
06/5/1992,5936
05/29/1992,5685
05/22/1992,7003
05/15/1992,5635
05/8/1992,6114
05/1/1992,5546
04/24/1992,5597
04/17/1992,5999
04/10/1992,6782
04/3/1992,5512
03/27/1992,5155
03/20/1992,5625
03/13/1992,5429
03/6/1992,5149
02/28/1992,6240
02/21/1992,4278
02/14/1992,6287
02/7/1992,4308
01/31/1992,5819
01/24/1992,5252
01/17/1992,5962
01/10/1992,6778
01/3/1992,4437
12/27/1991,5614
12/20/1991,5403
12/13/1991,6094
12/6/1991,6738
11/29/1991,4403
11/22/1991,5927
11/15/1991,5983
11/8/1991,5877
11/1/1991,5025
10/25/1991,5785
10/18/1991,5849
10/11/1991,5587
10/4/1991,4814
09/27/1991,6521
09/20/1991,6676
09/13/1991,5818
09/6/1991,6513
08/30/1991,6143
08/23/1991,6431
08/16/1991,7270
08/9/1991,6690
08/2/1991,5780
07/26/1991,5773
07/19/1991,6589
07/12/1991,5984
07/5/1991,4904
06/28/1991,7128
06/21/1991,5937
06/14/1991,6093
06/7/1991,6958
05/31/1991,6633
05/24/1991,6177
05/17/1991,5895
05/10/1991,6471
05/3/1991,5294
04/26/1991,5418
04/19/1991,4663
04/12/1991,6290
04/5/1991,5454
03/29/1991,5279
03/22/1991,5388
03/15/1991,4912
03/8/1991,5430
03/1/1991,4983
02/22/1991,4934
02/15/1991,5527
02/8/1991,5542
02/1/1991,6212
01/25/1991,5122
01/18/1991,5053
01/11/1991,4866
01/4/1991,5536
12/28/1990,4468
12/21/1990,5445
12/14/1990,5236
12/7/1990,5007
11/30/1990,4532
11/23/1990,5610
11/16/1990,5637
11/9/1990,4419
11/2/1990,4917
10/26/1990,5129
10/19/1990,4855
10/12/1990,5170
10/5/1990,5161
09/28/1990,5254
09/21/1990,6214
09/14/1990,5809
09/7/1990,6838
08/31/1990,7029
08/24/1990,6778
08/17/1990,7218
08/10/1990,5828
08/3/1990,6705
07/27/1990,7312
07/20/1990,7341
07/13/1990,7067
07/6/1990,6309
06/29/1990,5862
06/22/1990,7594
06/15/1990,7484
06/8/1990,6181
06/1/1990,6407
05/25/1990,6847
05/18/1990,6050
05/11/1990,6263
05/4/1990,6286
04/27/1990,6732
04/20/1990,5715
04/13/1990,6056
04/6/1990,6370
03/30/1990,6021
03/23/1990,6315
03/16/1990,6129
03/9/1990,6305
03/2/1990,6107
02/23/1990,5968
02/16/1990,5479
02/9/1990,5535
02/2/1990,6761
01/26/1990,6144
01/19/1990,6463
01/12/1990,6644
01/5/1990,5654
