Noticia_EIA,fechas_noticia_EIA
Permian region is expected to drive U.S. crude oil production growth through 2019,2018-08-23
The port district of Houston-Galveston became a net exporter of crude oil in April,2018-08-20
U.S. refinery capacity virtually unchanged between 2017 and 2018,2018-07-16
China is a key destination for increasing U.S. energy exports,2018-07-10
EIA now publishes petroleum export data by U.S. region of origin and destination country,2018-06-26
Oil company additions to proved reserves in 2017 were the highest since 2013,2018-06-22
"EIA expects Brent crude prices will average $71 per barrel in 2018, $68 per barrel in 2019",2018-06-15
Development of Alaska’s ANWR would increase U.S. crude oil production after 2030,2018-06-14
EIA reports track U.S. crude oil production statistics and trends,2018-06-04
The United States is a net energy importer from Canada,2018-05-23
U.S. Gulf Coast port limitations impose additional costs on rising U.S. crude oil exports,2018-05-16
"EIA raises crude oil, gasoline price forecasts for 2018",2018-05-10
U.S. imports of Canadian crude oil by rail increase,2018-05-02
U.S. crude oil production efficiency continues to improve,2018-05-01
U.S. Gulf of Mexico crude oil production to continue at record highs through 2019,2018-04-11
"U.S. crude oil production growth projected to be led by light, sweet crude oil",2018-04-09
"U.S. production of crude oil grew 5% in 2017, likely leading to record 2018 production",2018-04-04
EIA’s estimates for Texas crude oil production account for incomplete state data,2018-03-26
U.S. crude oil exports increased and reached more destinations in 2017,2018-03-15
The value of U.S. energy exports to Mexico exceeded import value for third year in a row,2018-03-14
Venezuela’s crude oil production declines amid economic instability,2018-03-13
S&P 500 implied volatility briefly surpassed that of crude oil in February,2018-03-12
Tight oil remains the leading source of future U.S. crude oil production,2018-02-22
Recent legislation mandates additional sales of U.S. Strategic Petroleum Reserve crude oil,2018-02-21
"U.S. proved reserves of natural gas up in 2016, oil reserves remained unchanged",2018-02-15
The United States is projected to become a net energy exporter in most AEO2018 cases,2018-02-12
China surpassed the United States as the world’s largest crude oil importer in 2017,2018-02-05
"U.S. monthly crude oil production exceeds 10 million barrels per day, highest since 1970",2018-02-01
Hydraulically fractured horizontal wells account for most new oil and natural gas wells,2018-01-30
U.S. crude oil exports increased following hurricane-related refinery disruptions,2018-01-29
EIA expects total U.S. fossil fuel production to reach record levels in 2018 and 2019,2018-01-18
EIA forecasts mostly flat crude oil prices and increasing global production through 2019,2018-01-11
"Crude oil prices increased in 2017, and Brent-WTI spread widened",2018-01-03
Production from offshore pre-salt oil deposits has increased Brazil’s oil production,2017-12-14
"United States, Canada, and Mexico launch North American Energy Information website",2017-12-01
Natural gas production in Bakken region increases at a faster rate than oil production,2017-11-28
Transportation constraints and export costs widen the Brent-WTI crude oil price spread,2017-11-15
