Fecha de publicación,Hora,Actual,Previsión,Anterior
26.07.2017,16:30,"-7,208M","-2,629M","-4,727M"
19.07.2017,16:30,"-4,727M","-3,214M","-7,564M"
12.07.2017,16:30,"-7,564M","-2,850M","-6,299M"
06.07.2017,17:00,"-6,299M","-2,283M","0,118M"
28.06.2017,16:30,"0,118M","-2,585M","-2,451M"
21.06.2017,16:30,"-2,451M","-2,106M","-1,661M"
14.06.2017,16:30,"-1,661M","-2,739M","3,295M"
07.06.2017,16:30,"3,295M","-3,464M","-6,428M"
01.06.2017,17:00,"-6,428M","-2,517M","-4,432M"
24.05.2017,16:30,"-4,432M","-2,419M","-1,753M"
17.05.2017,16:30,"-1,753M","-2,360M","-5,247M"
10.05.2017,16:30,"-5,247M","-1,786M","-0,930M"
03.05.2017,16:30,"-0,930M","-2,333M","-3,641M"
26.04.2017,16:30,"-3,641M","-1,661M","-1,034M"
19.04.2017,16:30,"-1,034M","-1,470M","-2,166M"
12.04.2017,16:30,"-2,166M","0,087M","1,566M"
05.04.2017,16:30,"1,566M","-0,435M","0,867M"
29.03.2017,16:30,"0,867M","1,357M","4,954M"
22.03.2017,16:30,"4,954M","2,801M","-0,237M"
15.03.2017,16:30,"-0,237M","3,713M","8,209M"
08.03.2017,17:30,"8,209M","1,967M","1,501M"
01.03.2017,17:30,"1,501M","3,079M","0,564M"
23.02.2017,18:00,"0,564M","3,475M","9,527M"
15.02.2017,17:30,"9,527M","3,513M","13,830M"
08.02.2017,17:30,"13,830M","2,529M","6,466M"
01.02.2017,17:30,"6,466M","3,289M","2,840M"
25.01.2017,17:30,"2,840M","2,815M","2,347M"
19.01.2017,18:00,"2,347M","-0,342M","4,097M"
11.01.2017,17:30,"4,097M","1,162M","-7,051M"
05.01.2017,18:00,"-7,051M","-2,152M","0,614M"
29.12.2016,18:00,"0,614M","-2,060M","2,256M"
21.12.2016,17:30,"2,256M","-2,515M","-2,563M"
14.12.2016,17:30,"-2,563M","-1,584M","-2,389M"
07.12.2016,17:30,"-2,389M","-1,032M","-0,884M"
30.11.2016,17:30,"-0,884M","0,636M","-1,255M"
23.11.2016,17:30,"-1,255M","0,671M","5,274M"
16.11.2016,17:30,"5,274M","1,480M","2,432M"
09.11.2016,17:30,"2,432M","1,330M","14,420M"
02.11.2016,16:30,"14,420M","1,013M","-0,553M"
26.10.2016,16:30,"-0,553M","1,699M","-5,200M"
19.10.2016,16:30,"-5,247M","2,705M","4,900M"
13.10.2016,17:00,"4,900M","0,650M","-2,976M"
05.10.2016,16:30,"-2,976M","2,560M","-1,882M"
28.09.2016,16:30,"-1,882M","2,995M","-6,200M"
21.09.2016,16:30,"-6,200M","3,350M","-0,559M"
14.09.2016,16:30,"-0,559M","3,800M","-14,513M"
08.09.2016,17:00,"-14,513M","0,225M","2,276M"
31.08.2016,16:30,"2,276M","0,921M","2,501M"
24.08.2016,16:30,"2,501M","-0,455M","-2,508M"
17.08.2016,16:30,"-2,508M","0,522M","1,055M"
10.08.2016,16:30,"1,055M","-1,025M","1,413M"
03.08.2016,16:30,"1,413M","-1,363M","1,671M"
27.07.2016,16:30,"1,671M","-2,257M","-2,342M"
20.07.2016,16:30,"-2,342M","-2,100M","-2,546M"
13.07.2016,16:30,"-2,546M","-2,950M","-2,223M"
07.07.2016,17:00,"-2,223M","-2,250M","-4,053M"
29.06.2016,16:30,"-4,053M","-2,365M","-0,917M"
22.06.2016,16:30,"-0,917M","-1,671M","-0,933M"
15.06.2016,16:30,"-0,933M","-2,260M","-3,226M"
08.06.2016,16:30,"-3,226M","-2,740M","-1,366M"
02.06.2016,17:00,"-1,366M","-2,490M","-4,226M"
25.05.2016,16:30,"-4,226M","-2,450M","1,310M"
18.05.2016,16:30,"1,310M","-2,833M","-3,410M"
11.05.2016,16:30,"-3,410M","0,714M","2,784M"
04.05.2016,16:30,"2,784M","1,695M","1,999M"
27.04.2016,16:30,"1,999M","2,366M","2,080M"
